CITYPE,CISUBTYPE,SERVCOMP,IMPACT,URGENCY,TEAM,TIMESTAMP,INTERACTIONID,INCIDENTID
application,Server Based Application,WBS000073,5,5,TEAM0007,16/10/2013 14:29,SD0015282,IM0006019
application,Web Based Application,WBS000318,4,4,TEAM0007,16/10/2013 14:33,SD0015224,IM0006041
application,Web Based Application,WBS000172,4,5,TEAM0127,16/10/2013 14:36,SD0015283,IM0006021
application,Server Based Application,WBS000128,4,4,TEAM0052,16/10/2013 14:45,SD0015181,IM0005990
application,Web Based Application,WBS000088,4,4,TEAM0003,16/10/2013 14:46,SD0015183,IM0005991
application,Server Based Application,WBS000072,5,5,TEAM0035,16/10/2013 14:55,SD0014972,IM0005916
application,Server Based Application,WBS000073,4,4,TEAM0031,16/10/2013 14:58,SD0014974,IM0005917
subapplication,Web Based Application,WBS000073,4,4,TEAM0045,16/10/2013 15:05,SD0015191,IM0005992
application,Server Based Application,WBS000284,4,4,TEAM0104,16/10/2013 15:15,SD0015194,IM0005993
application,Server Based Application,WBS000223,4,4,TEAM0023,16/10/2013 15:22,SD0015254,IM0006052
application,Server Based Application,WBS000263,4,4,TEAM0015,16/10/2013 15:29,SD0015303,IM0006023
application,Server Based Application,WBS000128,4,4,TEAM0052,16/10/2013 15:39,SD0015350,IM0005997
application,Server Based Application,WBS000073,4,4,TEAM0007,16/10/2013 15:44,SD0015266,IM0006054
application,Server Based Application,WBS000263,5,5,TEAM0016,16/10/2013 15:51,SD0015419,IM0006058
application,Web Based Application,WBS000063,4,4,TEAM0091,16/10/2013 15:54,SD0015358,IM0006109
application,Server Based Application,WBS000072,5,5,TEAM0017,16/10/2013 15:56,SD0015359,IM0006107
application,Web Based Application,WBS000318,5,5,TEAM0007,16/10/2013 15:57,SD0015423,IM0006060
application,Server Based Application,WBS000157,4,4,TEAM0040,16/10/2013 16:10,SD0014982,IM0006074
computer,Banking Device,WBS000146,4,4,TEAM0008,16/10/2013 16:11,SD0015368,IM0006110
application,Server Based Application,WBS000263,4,4,TEAM0035,16/10/2013 16:13,SD0015321,IM0006028
application,Server Based Application,WBS000073,4,4,TEAM0023,16/10/2013 16:13,SD0015431,IM0006062
subapplication,Server Based Application,WBS000095,5,5,TEAM0085,16/10/2013 16:19,SD0015324,IM0006029
application,Server Based Application,WBS000249,4,4,TEAM0094,16/10/2013 16:36,SD0015438,IM0006064
application,Server Based Application,WBS000296,5,5,TEAM0093,16/10/2013 16:40,SD0015330,IM0006149
application,Web Based Application,WBS000073,5,5,TEAM0007,16/10/2013 16:45,SD0015441,IM0006065
subapplication,Server Based Application,WBS000095,5,5,TEAM0085,16/10/2013 16:49,SD0015334,IM0006151
application,Server Based Application,WBS000321,4,4,TEAM0008,16/10/2013 16:54,SD0015443,IM0006066
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,16/10/2013 17:12,SD0015392,IM0006117
application,Server Based Application,WBS000228,5,5,TEAM0025,16/10/2013 17:22,SD0015339,IM0006154
application,SAP,WBS000271,5,5,TEAM0015,16/10/2013 18:21,SD0015342,IM0006155
application,Server Based Application,WBS000255,4,4,TEAM0132,17/10/2013 7:31,SD0015455,IM0006181
application,Desktop Application,WBS000092,3,3,TEAM0008,17/10/2013 7:43,SD0015456,IM0006182
computer,Laptop,WBS000091,5,5,TEAM0008,17/10/2013 7:59,SD0015572,IM0006157
application,Desktop Application,WBS000093,4,4,TEAM0088,17/10/2013 8:03,SD0015573,IM0006161
application,Server Based Application,WBS000296,4,4,TEAM0093,17/10/2013 8:07,SD0015574,IM0006158
application,Server Based Application,WBS000090,4,4,TEAM0008,17/10/2013 8:17,SD0015410,IM0006126
application,Web Based Application,WBS000073,4,4,TEAM0031,17/10/2013 8:24,SD0015415,IM0006121
application,Citrix,WBS000292,4,4,TEAM0008,17/10/2013 8:38,SD0015643,IM0006129
storage,SAN,WBS000128,5,5,TEAM0008,17/10/2013 8:40,SD0015644,IM0006123
application,Web Based Application,WBS000107,3,3,TEAM0151,17/10/2013 8:41,SD0015462,IM0006183
application,Server Based Application,WBS000128,4,4,TEAM0052,17/10/2013 8:46,SD0015519,IM0006082
software,System Software,WBS000134,4,4,TEAM0008,17/10/2013 8:50,SD0015521,IM0006084
application,Server Based Application,WBS000219,5,5,TEAM0044,17/10/2013 8:53,SD0015649,IM0006125
application,Server Based Application,WBS000263,4,4,TEAM0016,17/10/2013 8:57,SD0015590,IM0006165
application,Web Based Application,WBS000073,4,5,TEAM0023,17/10/2013 9:02,SD0015654,IM0006130
application,Server Based Application,WBS000013,3,3,TEAM0087,17/10/2013 9:03,SD0015528,IM0006087
application,Server Based Application,WBS000300,3,3,TEAM0042,17/10/2013 9:04,SD0015596,IM0006167
application,Server Based Application,WBS000128,4,4,TEAM0052,17/10/2013 9:07,SD0015657,IM0006127
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 9:08,SD0015529,IM0006085
displaydevice,Monitor,WBS000091,4,4,TEAM0008,17/10/2013 9:17,SD0015475,IM0006186
application,Web Based Application,WBS000298,5,5,TEAM0008,17/10/2013 9:18,SD0015606,IM0006176
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 9:18,SD0015609,IM0006168
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,17/10/2013 9:19,SD0015610,IM0006171
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 9:22,SD0015663,IM0006131
computer,Laptop,WBS000091,5,5,TEAM0008,17/10/2013 9:31,SD0015615,IM0006177
application,Server Based Application,WBS000294,3,3,TEAM0132,17/10/2013 9:37,SD0015616,IM0006178
application,Web Based Application,WBS000073,4,4,TEAM0001,17/10/2013 9:40,SD0015538,IM0006090
application,Server Based Application,WBS000090,4,4,TEAM0008,17/10/2013 9:50,SD0015678,IM0006134
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 9:59,SD0015545,IM0006091
application,Desktop Application,WBS000092,3,3,TEAM0008,17/10/2013 10:02,SD0015722,IM0006191
application,Server Based Application,WBS000223,4,4,TEAM0057,17/10/2013 10:06,SD0015688,IM0006136
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 10:11,SD0015549,IM0006093
application,Server Based Application,WBS000263,4,4,TEAM0015,17/10/2013 10:28,SD0015697,IM0006139
application,Server Based Application,WBS000263,5,5,TEAM0087,17/10/2013 10:31,SD0015698,IM0006138
application,Web Based Application,WBS000088,4,4,TEAM0003,17/10/2013 10:35,SD0015735,IM0006197
application,Desktop Application,WBS000096,4,4,TEAM0075,17/10/2013 10:37,SD0015737,IM0006196
application,SAP,WBS000271,5,5,TEAM0028,17/10/2013 10:54,SD0015859,IM0006252
application,Web Based Application,WBS000167,5,5,TEAM0069,17/10/2013 10:54,SD0015927,IM0006143
application,Server Based Application,WBS000128,4,4,TEAM0052,17/10/2013 10:58,SD0015799,IM0006223
application,Desktop Application,WBS000096,4,4,TEAM0075,17/10/2013 11:08,SD0015750,IM0006200
application,Web Based Application,WBS000318,4,4,TEAM0063,17/10/2013 11:09,SD0015804,IM0006227
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,17/10/2013 11:12,SD0015866,IM0006259
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 11:13,SD0015939,IM0006145
application,Server Based Application,WBS000073,5,5,TEAM0008,17/10/2013 11:17,SD0015810,IM0006229
application,Desktop Application,WBS000099,4,4,TEAM0087,17/10/2013 11:26,SD0015947,IM0006148
application,Server Based Application,WBS000073,5,5,TEAM0023,17/10/2013 11:29,SD0015950,IM0006291
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 11:35,SD0015886,IM0006269
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 11:42,SD0015769,IM0006206
application,Desktop Application,WBS000110,4,4,TEAM0092,17/10/2013 11:44,SD0015959,IM0006293
application,Web Based Application,WBS000073,4,4,TEAM0007,17/10/2013 11:44,SD0015960,IM0006295
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,17/10/2013 11:49,SD0015896,IM0006272
subapplication,Web Based Application,WBS000073,4,4,TEAM0007,17/10/2013 11:49,SD0015897,IM0006273
application,Web Based Application,WBS000318,5,5,TEAM0007,17/10/2013 11:53,SD0015966,IM0006297
computer,Desktop,WBS000187,5,5,TEAM0008,17/10/2013 11:55,SD0016005,IM0006211
application,Web Based Application,WBS000318,5,5,TEAM0007,17/10/2013 11:56,SD0015826,IM0006232
application,SAP,WBS000271,5,5,TEAM0028,17/10/2013 12:05,SD0015905,IM0006277
application,Server Based Application,WBS000249,4,4,TEAM0094,17/10/2013 12:07,SD0015828,IM0006234
application,Server Based Application,WBS000296,3,3,TEAM0093,17/10/2013 12:14,SD0015913,IM0006283
application,Server Based Application,WBS000128,4,4,TEAM0052,17/10/2013 12:24,SD0015984,IM0006305
application,Server Based Application,WBS000023,3,3,TEAM0087,17/10/2013 12:36,SD0015992,IM0006307
subapplication,Server Based Application,WBS000076,5,5,TEAM0078,17/10/2013 12:38,SD0016023,IM0006367
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,17/10/2013 12:40,SD0016024,IM0006368
application,Server Based Application,WBS000263,5,5,TEAM0015,17/10/2013 12:49,SD0016030,IM0006371
no type,no subtype,WBS000204,3,3,TEAM0066,17/10/2013 13:01,SD0015841,IM0006238
database,Database,WBS000239,3,3,TEAM0087,17/10/2013 13:01,SD0016130,IM0006309
application,Server Based Application,WBS000223,4,4,TEAM0057,17/10/2013 13:15,SD0016073,IM0006340
application,Server Based Application,WBS000263,5,5,TEAM0087,17/10/2013 13:19,SD0016134,IM0006310
application,SAP,WBS000271,5,5,TEAM0015,17/10/2013 13:25,SD0016077,IM0006343
application,Server Based Application,WBS000099,3,3,TEAM0087,17/10/2013 13:32,SD0016204,IM0006246
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,17/10/2013 13:34,SD0016080,IM0006347
application,Web Based Application,WBS000152,5,5,TEAM0008,17/10/2013 13:39,SD0016210,IM0006248
subapplication,Web Based Application,WBS000125,5,5,TEAM0064,17/10/2013 13:42,SD0016087,IM0006348
application,Web Based Application,WBS000172,5,5,TEAM0121,17/10/2013 13:52,SD0016042,IM0006376
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 14:00,SD0016093,IM0006353
application,Server Based Application,WBS000255,5,5,TEAM0132,17/10/2013 14:01,SD0016094,IM0006351
application,Server Based Application,WBS000228,3,3,TEAM0132,17/10/2013 14:05,SD0016151,IM0006318
subapplication,Web Based Application,WBS000073,5,5,TEAM0007,17/10/2013 14:09,SD0016049,IM0006379
computer,Laptop,WBS000187,5,5,TEAM0008,17/10/2013 14:19,SD0016242,IM0006399
computer,Laptop,WBS000091,5,5,TEAM0003,17/10/2013 14:19,SD0016243,IM0006400
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 14:25,SD0016053,IM0006381
application,SAP,WBS000271,5,5,TEAM0028,17/10/2013 14:31,SD0016106,IM0006355
computer,Laptop,WBS000091,5,5,TEAM0020,17/10/2013 14:39,SD0016271,IM0006382
application,Server Based Application,WBS000128,4,4,TEAM0052,17/10/2013 14:49,SD0016165,IM0006319
application,Server Based Application,WBS000072,5,5,TEAM0034,17/10/2013 14:51,SD0016115,IM0006357
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 15:01,SD0016170,IM0006320
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,17/10/2013 15:01,SD0016282,IM0006386
application,SAP,WBS000271,5,5,TEAM0015,17/10/2013 15:06,SD0016285,IM0006384
application,Web Based Application,WBS000073,4,4,TEAM0031,17/10/2013 15:17,SD0016183,IM0006326
application,Desktop Application,WBS000093,4,4,TEAM0077,17/10/2013 15:17,SD0016289,IM0006387
application,SAP,WBS000271,5,5,TEAM0028,17/10/2013 15:18,SD0016124,IM0006363
subapplication,Web Based Application,WBS000073,4,4,TEAM0008,17/10/2013 15:26,SD0016343,IM0006411
hardware,DataCenterEquipment,WBS000242,4,4,TEAM0094,17/10/2013 15:28,SD0016127,IM0006366
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,17/10/2013 15:41,SD0016300,IM0006392
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,17/10/2013 15:56,SD0016358,IM0006420
application,Server Based Application,WBS000223,4,4,TEAM0057,17/10/2013 15:58,SD0016308,IM0006393
application,Server Based Application,WBS000090,4,4,TEAM0008,17/10/2013 15:59,SD0016359,IM0006421
application,Desktop Application,WBS000092,4,4,TEAM0008,17/10/2013 16:15,SD0016416,IM0006444
application,Server Based Application,WBS000073,4,4,TEAM0023,17/10/2013 16:16,SD0016364,IM0006423
application,Server Based Application,WBS000263,5,5,TEAM0091,17/10/2013 16:27,SD0016419,IM0006447
application,SAP,WBS000271,5,5,TEAM0028,17/10/2013 16:28,SD0016420,IM0006445
application,Server Based Application,WBS000264,5,5,TEAM0046,17/10/2013 16:34,SD0016423,IM0006449
application,Server Based Application,WBS000228,5,5,TEAM0025,17/10/2013 16:36,SD0016374,IM0006427
application,Server Based Application,WBS000296,5,5,TEAM0093,17/10/2013 16:37,SD0016425,IM0006453
application,Server Based Application,WBS000072,5,5,TEAM0035,17/10/2013 16:37,SD0016426,IM0006450
application,SAP,WBS000271,4,4,TEAM0035,17/10/2013 16:39,SD0016427,IM0006451
application,Web Based Application,WBS000073,4,4,TEAM0057,17/10/2013 16:57,SD0016383,IM0006431
application,SAP,WBS000271,5,5,TEAM0035,17/10/2013 16:57,SD0016433,IM0006456
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,17/10/2013 17:01,SD0016384,IM0006547
application,Server Based Application,WBS000039,5,5,TEAM0124,17/10/2013 17:02,SD0016435,IM0006458
computer,Omgeving,WBS000098,4,4,TEAM0008,17/10/2013 18:38,SD0016391,IM0006549
application,Server Based Application,WBS000073,2,2,TEAM0066,18/10/2013 6:38,SD0016554,IM0006477
application,Server Based Application,WBS000223,4,4,TEAM0057,18/10/2013 8:05,SD0016503,IM0006511
application,Server Based Application,WBS000228,5,5,TEAM0025,18/10/2013 8:08,SD0016504,IM0006510
application,Desktop Application,WBS000234,5,4,TEAM0092,18/10/2013 8:22,SD0016558,IM0006478
application,Server Based Application,WBS000228,5,5,TEAM0025,18/10/2013 8:26,SD0016622,IM0006551
application,Server Based Application,WBS000264,5,5,TEAM0046,18/10/2013 8:35,SD0016562,IM0006479
application,Client Based Application,WBS000073,3,3,TEAM0013,18/10/2013 8:48,SD0016512,IM0006513
application,Citrix,WBS000292,4,4,TEAM0075,18/10/2013 8:55,SD0016568,IM0006484
application,Web Based Application,WBS000237,5,5,TEAM0041,18/10/2013 8:56,SD0016460,IM0006464
application,Client Based Application,WBS000073,3,3,TEAM0013,18/10/2013 8:57,SD0016461,IM0006465
application,Desktop Application,WBS000135,4,4,TEAM0008,18/10/2013 9:33,SD0016586,IM0006493
application,Server Based Application,WBS000247,4,4,TEAM0094,18/10/2013 9:33,SD0016649,IM0006558
application,Web Based Application,WBS000073,4,4,TEAM0047,18/10/2013 9:36,SD0016652,IM0006556
computer,Banking Device,WBS000146,4,4,TEAM0052,18/10/2013 9:44,SD0016546,IM0006520
application,Web Based Application,WBS000318,4,4,TEAM0039,18/10/2013 9:46,SD0016594,IM0006490
application,Server Based Application,WBS000263,5,5,TEAM0102,18/10/2013 9:46,SD0016658,IM0006557
application,Desktop Application,WBS000110,5,5,TEAM0092,18/10/2013 9:49,SD0016595,IM0006489
application,SAP,WBS000271,5,5,TEAM0027,18/10/2013 9:52,SD0016664,IM0006560
application,Web Based Application,WBS000055,4,4,TEAM0003,18/10/2013 10:03,SD0016779,IM0006527
application,Web Based Application,WBS000152,5,5,TEAM0008,18/10/2013 10:05,SD0016605,IM0006496
application,Server Based Application,WBS000264,5,5,TEAM0046,18/10/2013 10:10,SD0016676,IM0006563
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,18/10/2013 10:11,SD0016677,IM0006566
application,Server Based Application,WBS000263,4,4,TEAM0015,18/10/2013 10:25,SD0016795,IM0006531
computer,Laptop,WBS000091,4,4,TEAM0075,18/10/2013 10:27,SD0016736,IM0006593
computer,Laptop,WBS000187,5,5,TEAM0085,18/10/2013 10:28,SD0016616,IM0006498
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,18/10/2013 10:37,SD0016688,IM0006568
application,Web Based Application,WBS000152,5,5,TEAM0069,18/10/2013 10:44,SD0016841,IM0006502
application,Desktop Application,WBS000089,3,3,TEAM0075,18/10/2013 10:57,SD0016851,IM0006505
software,System Software,WBS000134,4,4,TEAM0008,18/10/2013 10:58,SD0016815,IM0006537
application,Web Based Application,WBS000073,4,4,TEAM0031,18/10/2013 11:04,SD0016855,IM0006503
application,Server Based Application,WBS000263,5,5,TEAM0102,18/10/2013 11:05,SD0016821,IM0006536
application,Server Based Application,WBS000136,4,4,TEAM0008,18/10/2013 11:11,SD0016920,IM0006574
application,Web Based Application,WBS000152,5,5,TEAM0069,18/10/2013 11:13,SD0016761,IM0006601
application,Server Based Application,WBS000017,3,3,TEAM0038,18/10/2013 11:17,SD0016826,IM0006538
application,Web Based Application,WBS000152,5,5,TEAM0069,18/10/2013 11:21,SD0016924,IM0006575
application,Server Based Application,WBS000073,4,4,TEAM0023,18/10/2013 11:27,SD0016831,IM0006539
computer,Laptop,WBS000091,5,5,TEAM0008,18/10/2013 11:43,SD0016874,IM0006627
application,Server Based Application,WBS000223,4,4,TEAM0057,18/10/2013 11:48,SD0016933,IM0006581
subapplication,Web Based Application,WBS000015,4,4,TEAM0113,18/10/2013 11:49,SD0016837,IM0006541
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,18/10/2013 11:52,SD0016936,IM0006580
application,Server Based Application,WBS000223,4,4,TEAM0057,18/10/2013 11:55,SD0016998,IM0006605
subapplication,Web Based Application,WBS000073,4,4,TEAM0031,18/10/2013 12:09,SD0017005,IM0006608
application,Web Based Application,WBS000073,4,4,TEAM0031,18/10/2013 12:10,SD0016884,IM0006628
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,18/10/2013 12:13,SD0016886,IM0006629
application,Web Based Application,WBS000055,4,4,TEAM0003,18/10/2013 12:17,SD0016889,IM0006633
subapplication,Web Based Application,WBS000125,5,5,TEAM0023,18/10/2013 12:17,SD0017008,IM0006609
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,18/10/2013 12:24,SD0017010,IM0006611
#N/B,#N/B,WBS000284,3,3,TEAM0134,18/10/2013 12:33,SD0016896,IM0006635
computer,Laptop,WBS000091,5,5,TEAM0008,18/10/2013 12:36,SD0016951,IM0006663
application,Server Based Application,WBS000186,4,4,TEAM0008,18/10/2013 12:47,SD0016900,IM0006640
application,Server Based Application,WBS000128,4,4,TEAM0052,18/10/2013 12:48,SD0016955,IM0006665
application,Server Based Application,WBS000017,4,4,TEAM0008,18/10/2013 12:50,SD0016901,IM0006643
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,18/10/2013 12:52,SD0017020,IM0006614
computer,Desktop,WBS000187,5,5,TEAM0008,18/10/2013 13:12,SD0016967,IM0006668
application,Server Based Application,WBS000294,3,3,TEAM0132,18/10/2013 13:20,SD0017075,IM0006545
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,18/10/2013 13:21,SD0016972,IM0006670
application,Client Based Application,WBS000073,3,3,TEAM0013,18/10/2013 13:24,SD0016912,IM0006651
computer,Banking Device,WBS000146,2,2,TEAM0008,18/10/2013 13:27,SD0017078,IM0006702
computer,Laptop,WBS000091,5,5,TEAM0021,18/10/2013 13:32,SD0017031,IM0006617
application,Server Based Application,WBS000101,4,4,TEAM0008,18/10/2013 13:33,SD0017032,IM0006616
application,Web Based Application,WBS000318,5,5,TEAM0003,18/10/2013 13:46,SD0016983,IM0006673
application,Server Based Application,WBS000072,5,5,TEAM0017,18/10/2013 14:01,SD0017138,IM0006654
application,Desktop Application,WBS000091,4,4,TEAM0075,18/10/2013 14:02,SD0017045,IM0006753
application,Server Based Application,WBS000264,4,4,TEAM0008,18/10/2013 14:03,SD0017047,IM0006620
subapplication,Web Based Application,WBS000066,4,4,TEAM0003,18/10/2013 14:08,SD0017095,IM0006707
application,Web Based Application,WBS000088,4,4,TEAM0003,18/10/2013 14:09,SD0017096,IM0006708
application,Web Based Application,WBS000318,4,4,TEAM0010,18/10/2013 14:14,SD0017147,IM0006661
application,Web Based Application,WBS000073,4,4,TEAM0031,18/10/2013 14:15,SD0017210,IM0006679
subapplication,Web Based Application,WBS000162,2,2,TEAM0003,18/10/2013 14:23,SD0017054,IM0006622
application,Web Based Application,WBS000073,4,4,TEAM0031,18/10/2013 14:26,SD0017104,IM0006711
application,Server Based Application,WBS000053,3,3,TEAM0092,18/10/2013 14:32,SD0017060,IM0006624
application,Web Based Application,WBS000088,4,4,TEAM0003,18/10/2013 14:32,SD0017108,IM0006715
application,Server Based Application,WBS000295,3,3,TEAM0066,18/10/2013 14:43,SD0017223,IM0006685
application,Web Based Application,WBS000152,5,5,TEAM0069,18/10/2013 14:45,SD0017163,IM0006726
application,Server Based Application,WBS000223,4,4,TEAM0057,18/10/2013 14:53,SD0017282,IM0006760
application,Server Based Application,WBS000072,5,5,TEAM0017,18/10/2013 15:01,SD0017169,IM0006729
application,Server Based Application,WBS000101,4,4,TEAM0132,18/10/2013 15:03,SD0017234,IM0006691
application,Server Based Application,WBS000099,3,3,TEAM0008,18/10/2013 15:11,SD0017291,IM0006763
application,Desktop Application,WBS000092,4,4,TEAM0008,18/10/2013 15:24,SD0017296,IM0006765
application,Server Based Application,WBS000017,4,4,TEAM0008,18/10/2013 15:37,SD0017184,IM0006733
application,Client Based Application,WBS000073,4,4,TEAM0023,18/10/2013 15:37,SD0017248,IM0006693
application,Server Based Application,WBS000072,5,5,TEAM0035,18/10/2013 15:44,SD0017121,IM0006719
application,Server Based Application,WBS000072,5,5,TEAM0035,18/10/2013 15:47,SD0017122,IM0006720
subapplication,Server Based Application,WBS000095,5,5,TEAM0044,18/10/2013 15:53,SD0017188,IM0006735
application,Desktop Application,WBS000094,5,5,TEAM0044,18/10/2013 15:58,SD0017124,IM0006722
subapplication,Web Based Application,WBS000162,4,4,TEAM0003,18/10/2013 15:59,SD0017190,IM0006737
software,System Software,WBS000201,4,4,TEAM0066,18/10/2013 15:59,SD0017257,IM0006694
application,Server Based Application,WBS000263,4,4,TEAM0015,18/10/2013 16:12,SD0017195,IM0006738
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,18/10/2013 16:23,SD0017199,IM0006740
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,18/10/2013 16:28,SD0017201,IM0006741
application,Server Based Application,WBS000072,5,5,TEAM0017,18/10/2013 16:33,SD0017318,IM0006771
application,Desktop Application,WBS000092,4,4,TEAM0008,18/10/2013 16:35,SD0017374,IM0006696
application,Desktop Application,WBS000093,3,3,TEAM0075,18/10/2013 16:45,SD0017323,IM0006773
application,Server Based Application,WBS000296,5,5,TEAM0093,18/10/2013 18:27,SD0017353,IM0006747
hardware,DataCenterEquipment,WBS000267,3,3,TEAM0066,19/10/2013 0:20,SD0017332,IM0006723
application,Server Based Application,WBS000170,2,2,TEAM0066,19/10/2013 10:29,SD0017361,IM0006749
application,Standard Application,WBS000284,3,3,TEAM0104,20/10/2013 16:23,SD0017387,IM0006777
application,Server Based Application,WBS000073,2,2,TEAM0066,20/10/2013 18:13,SD0017471,IM0006820
application,Server Based Application,WBS000101,4,4,TEAM0008,21/10/2013 7:30,SD0017472,IM0006821
application,Web Based Application,WBS000088,4,4,TEAM0003,21/10/2013 7:50,SD0017476,IM0006822
application,Server Based Application,WBS000294,3,3,TEAM0132,21/10/2013 8:09,SD0017398,IM0006782
subapplication,Server Based Application,WBS000095,5,5,TEAM0085,21/10/2013 8:11,SD0017564,IM0006866
computer,Laptop,WBS000091,5,5,TEAM0008,21/10/2013 8:14,SD0017488,IM0006825
computer,Laptop,WBS000187,5,5,TEAM0086,21/10/2013 8:28,SD0017404,IM0006785
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,21/10/2013 8:29,SD0017495,IM0006830
application,Web Based Application,WBS000088,4,4,TEAM0003,21/10/2013 8:31,SD0017497,IM0006829
computer,Laptop,WBS000187,5,5,TEAM0086,21/10/2013 9:12,SD0017520,IM0006834
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 9:13,SD0017430,IM0006790
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,21/10/2013 9:24,SD0017525,IM0006835
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 9:25,SD0017441,IM0006797
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 9:25,SD0017442,IM0006799
computer,Laptop,WBS000091,5,5,TEAM0008,21/10/2013 9:27,SD0017651,IM0006900
computer,Desktop,WBS000187,5,5,TEAM0086,21/10/2013 9:32,SD0017656,IM0006902
computer,Laptop,WBS000187,4,4,TEAM0008,21/10/2013 9:33,SD0017591,IM0006872
application,Server Based Application,WBS000152,5,5,TEAM0069,21/10/2013 9:36,SD0017530,IM0006836
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 9:50,SD0017539,IM0006838
application,Server Based Application,WBS000199,3,3,TEAM0087,21/10/2013 9:50,SD0017598,IM0006874
application,Server Based Application,WBS000101,4,4,TEAM0008,21/10/2013 9:55,SD0017605,IM0006879
computer,Laptop,WBS000187,5,5,TEAM0086,21/10/2013 10:01,SD0017706,IM0006808
application,Server Based Application,WBS000073,4,4,TEAM0008,21/10/2013 10:03,SD0017548,IM0006842
application,SAP,WBS000271,5,5,TEAM0028,21/10/2013 10:14,SD0017685,IM0006911
application,Citrix,WBS000292,4,4,TEAM0008,21/10/2013 10:27,SD0017619,IM0006882
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 10:28,SD0017724,IM0006814
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 10:28,SD0017781,IM0006847
application,Web Based Application,WBS000073,4,4,TEAM0007,21/10/2013 10:29,SD0017725,IM0006817
application,Citrix,WBS000098,4,4,TEAM0043,21/10/2013 10:30,SD0017726,IM0006816
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 10:36,SD0017729,IM0006818
subapplication,Server Based Application,WBS000095,5,5,TEAM0008,21/10/2013 10:37,SD0017730,IM0006819
application,Server Based Application,WBS000263,4,4,TEAM0076,21/10/2013 10:43,SD0017868,IM0006883
application,Web Based Application,WBS000088,4,4,TEAM0003,21/10/2013 10:48,SD0017933,IM0006928
application,Server Based Application,WBS000223,4,4,TEAM0057,21/10/2013 10:49,SD0017741,IM0006934
application,Web Based Application,WBS000318,4,4,TEAM0040,21/10/2013 10:55,SD0017791,IM0006850
application,Server Based Application,WBS000090,4,4,TEAM0008,21/10/2013 10:58,SD0017942,IM0006930
application,Web Based Application,WBS000088,4,4,TEAM0003,21/10/2013 11:04,SD0017878,IM0006886
application,Server Based Application,WBS000149,5,5,TEAM0051,21/10/2013 11:05,SD0017750,IM0006935
application,Server Based Application,WBS000128,4,4,TEAM0052,21/10/2013 11:05,SD0017751,IM0006936
application,Desktop Application,WBS000092,4,4,TEAM0008,21/10/2013 11:09,SD0017800,IM0006853
application,Server Based Application,WBS000099,4,4,TEAM0087,21/10/2013 11:10,SD0017801,IM0006856
subapplication,Web Based Application,WBS000073,4,4,TEAM0040,21/10/2013 11:16,SD0017959,IM0006979
application,Web Based Application,WBS000152,5,5,TEAM0069,21/10/2013 11:30,SD0017766,IM0006939
application,Web Based Application,WBS000085,5,5,TEAM0007,21/10/2013 11:31,SD0017888,IM0006890
application,Desktop Application,WBS000110,4,4,TEAM0092,21/10/2013 11:36,SD0017973,IM0006983
application,Server Based Application,WBS000073,4,4,TEAM0023,21/10/2013 11:39,SD0017775,IM0006943
